PuzzleId,GameId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,OpeningTags
0018P,Xg1Gtfjr/black#88,5R2/1p6/p1p5/2P1rk2/2K3p1/2P1p1P1/1P5P/8 b - - 1 44,f5e6 f8e8 e6f5 e8e5 f5e5 c4d3 e5d5 d3e3 a6a5 e3f4 d5c4 f4g4,1927,76,91,237,['crushing' 'endgame' 'exposedKing' 'rookEndgame' 'veryLong'],
0018S,H1ARO2GL/black#40,2kr3r/pp3p2/4p2p/1N1p2p1/3Q4/1P1P4/2q2PPP/5RK1 b - - 1 20,b7b6 d4a1 a7a5 f1c1,2585,119,90,1855,['advantage' 'endgame' 'pin' 'short'],
001Fg,y0QalMAw#59,2R2r1k/pQ4pp/5rp1/3B4/q2n4/7P/P4PP1/5RK1 w - - 3 30,c8c7 d4e2 g1h2 a4f4 h2h1 e2g3 f2g3 f4f1,1434,74,96,2639,['advantage' 'middlegame' 'veryLong'],
001Hi,tUkE0z1z/black#46,6k1/pp1r1pp1/1qp1p2p/4P2P/5Q2/1P4R1/P1Pr1PP1/R5K1 b - - 4 23,b6d4 f4f6 d4f2 f6f2 d2f2 g1f2,2391,115,66,32,['advantage' 'endgame' 'long' 'pin'],
001KR,TaT1Zl7z/black#56,6Qk/p1p3pp/4N3/1p6/2q1r1n1/2B5/PP4PP/3R1R1K b - - 0 28,h8g8 f1f8,642,82,100,167,['mate' 'mateIn1' 'middlegame' 'oneMove'],
001Oo,8IKs77O9/black#46,6k1/4p1bp/6p1/1p1pP3/1PpPp3/2P1P3/Q2B1KPP/3q4 b - - 2 23,d1a4 a2a4 b5a4 b4b5 g8f7 b5b6,2078,78,84,61,['crushing' 'endgame' 'long' 'quietMove'],
001Wz,84RH3LaP/black#42,4r1k1/5ppp/r1p5/p1n1RP2/8/2P2N1P/2P3P1/3R2K1 b - - 0 21,e8e5 d1d8 e5e8 d8e8,1118,82,89,85,['backRankMate' 'endgame' 'mate' 'mateIn2' 'short'],
001XA,KZRiN695/black#46,1qr2rk1/pb2bppp/8/8/2p1N3/P1Bn2P1/2Q2PBP/1R3RK1 b - - 3 23,b8c7 b1b7 c7b7 e4f6 e7f6 g2b7,1687,75,91,1350,['crushing' 'discoveredAttack' 'long' 'master' 'middlegame' 'sacrifice'],
001aK,Epr0AiEh/black#66,6k1/5p2/4p3/P1B5/2P4P/4Pnp1/Rb1rN3/5K2 b - - 1 33,d2e2 f1e2 g3g2 e3e4 f3d4 e2f2,2205,81,94,650,['crushing' 'endgame' 'hangingPiece' 'long' 'quietMove'],
001cr,7FFNwibw/black#76,8/3B2pp/p5k1/2p3P1/1p1p1K2/8/1P6/8 b - - 0 38,c5c4 d7e8,1720,77,94,2934,['bishopEndgame' 'endgame' 'mate' 'mateIn1' 'oneMove'],
001gi,1sV2Hr22#35,r6r/1pNk1ppp/2np4/b3p3/4P1b1/N1Q5/P4PPP/R3KB1R w KQ - 3 18,c7a8 a5c3,819,119,69,268,['bodenMate' 'hangingPiece' 'mate' 'mateIn1' 'middlegame' 'oneMove'],['Sicilian_Defense' 'Sicilian_Defense_Other_variations']
001h8,IxCahP6X/black#68,2r3k1/2r4p/4p1p1/1p1q1pP1/p1bP1P1Q/P6R/5B2/2R3K1 b - - 5 34,c4e2 h4h7 c7h7 c1c8 g8g7 c8c7,1780,76,88,620,['crushing' 'deflection' 'kingsideAttack' 'long' 'middlegame' 'sacrifice'],
001kG,xXAEaVto/black#22,rnbq3r/1p2bkpp/p4n2/8/2pNP3/2N5/PPP3PP/R1BQ1RK1 b - - 1 11,e7c5 d1h5 f7g8 h5c5,1885,77,93,1035,['advantage' 'opening' 'pin' 'short'],['Sicilian_Defense' 'Sicilian_Defense_Najdorf_Variation']
001m3,LELOz22f#75,7r/6k1/2b1pp2/8/P1N3p1/5nP1/4RP2/Q4K2 w - - 2 38,e2e6 h8h1 f1e2 h1a1,1459,76,87,279,['advantage' 'endgame' 'short' 'skewer'],
001om,VWOIWtIh#51,5r1k/pp4pp/5p2/1BbQp1r1/6K1/7P/1PP3P1/3R3R w - - 2 26,g4h4 c5f2 g2g3 f2g3,1018,80,89,226,['mate' 'mateIn2' 'middlegame' 'morphysMate' 'short'],
001pC,d04UP3XD#35,r4rk1/pp3ppp/3b4/2p1pPB1/7N/2PP3n/PP4PP/R2Q1RqK w - - 5 18,f1g1 h3f2,870,76,91,433,['mate' 'mateIn1' 'middlegame' 'oneMove' 'smotheredMate'],['Sicilian_Defense' 'Sicilian_Defense_McDonnell_Attack']
001u3,BBn6ipaK/black#66,2r3k1/p1q2pp1/Q3p2p/b1Np4/2nP1P2/4P1P1/5K1P/2B1N3 b - - 3 33,c7b6 a6c8 g8h7 c8b7,2190,80,55,82,['advantage' 'hangingPiece' 'middlegame' 'short'],
001uD,2qkVLUl6/black#64,6k1/1p3pp1/1p5p/2r1p3/2n5/r3PN2/2RnNPPP/2R3K1 b - - 1 32,f7f6 f3d2 c4d2 c2d2 c5c1 e2c1,1916,76,92,973,['advantage' 'long' 'middlegame'],
001w5,0e1vxAEn/black#58,1rb2rk1/q5P1/4p2p/3p3p/3P1P2/2P5/2QK3P/3R2R1 b - - 0 29,f8f7 c2h7 g8h7 g7g8q,1034,83,85,220,"['advancedPawn' 'attraction' 'mate' 'mateIn2' 'middlegame' 'promotion'
 'short']",
001wR,ruvbd9JW/black#52,6nr/pp3p1p/k1p5/8/1QN5/2P1P3/4KPqP/8 b - - 5 26,b7b5 b4a5 a6b7 c4d6 b7b8 a5d8,1152,85,93,2627,['endgame' 'long' 'mate' 'mateIn3'],
001wb,hNzYRMWP#33,r3k2r/pb1p1ppp/1b4q1/1Q2P3/8/2NP1Pn1/PP4PP/R1B2R1K w kq - 1 17,h2g3 g6h5,1106,76,95,266,['mate' 'mateIn1' 'middlegame' 'oneMove'],['Ruy_Lopez' 'Ruy_Lopez_Bird_Variation']
001wr,KnJ2mojX#35,r4rk1/p3ppbp/Pp1q1np1/3PpbB1/2B5/2N5/1PPQ1PPP/3RR1K1 w - - 4 18,f2f3 d6c5 g1h1 c5c4,1013,77,97,2406,['advantage' 'fork' 'master' 'masterVsMaster' 'middlegame' 'short'],['Pirc_Defense' 'Pirc_Defense_Classical_Variation']
001xO,fNCePFgY#37,k1r1b3/p1r1nppp/1p1qpn2/2Np4/1P1P4/PQRBPN2/5PPP/2R3K1 w - - 0 19,d3a6 b6c5 a6c8 c5c4,1856,75,91,1379,['crushing' 'master' 'masterVsMaster' 'middlegame' 'sacrifice' 'short'],['Slav_Defense' 'Slav_Defense_Other_variations']
001xl,bEQkfPQD/black#80,8/4R1k1/p5pp/3B4/5q2/8/5P1P/6K1 b - - 5 40,g7f6 e7f7 f6e5 f7f4,1095,82,94,11812,"['advantage' 'endgame' 'master' 'masterVsMaster' 'short' 'skewer'
 'superGM']",
002CP,pHZnIFdb#47,r5k1/pp4pp/4p1q1/4p3/3n4/P5P1/1PP2Q1P/2KR1R2 w - - 4 24,f2e3 g6c2,925,84,69,90,['endgame' 'mate' 'mateIn1' 'oneMove' 'queensideAttack'],
002Ds,2SrvOtZN/black#90,8/1pp5/p2p4/P2Pk2p/1PP1p2P/2n1K2P/3N4/8 b - - 0 45,b7b6 b4b5 c3d1 e3e2 a6b5 a5a6,1992,76,90,116,['crushing' 'endgame' 'knightEndgame' 'long'],
002GQ,2K7g2pDT#55,5rk1/5ppp/4p3/4N3/8/1Pn5/5PPP/5RK1 w - - 0 28,f1c1 c3e2 g1f1 e2c1,654,81,73,134,['crushing' 'endgame' 'fork' 'short'],
002HE,U21EXYdv#39,1qr2rk1/1p1p1ppp/pB2p1n1/7n/2P1P3/1Q2NP1P/PP2B1Pb/3R1RK1 w - - 1 20,g1f2 b8g3,1116,77,94,506,['master' 'mate' 'mateIn1' 'middlegame' 'oneMove'],
002Hv,rLJ8Hp1v#111,8/8/8/3N2p1/5b2/3p3P/5kP1/3K4 w - - 16 56,d5f4 g5f4 h3h4 f2g2 h4h5 f4f3 d1d2 f3f2,1621,86,63,28,['advancedPawn' 'crushing' 'endgame' 'veryLong'],
002IE,fDwvVUIp/black#32,r3brk1/5pp1/p1nqpn1p/P2pN3/2pP4/2P1PN2/5PPP/RB1QK2R b KQ - 4 16,c6e5 d4e5 d6e7 e5f6,1205,85,74,37,['advantage' 'fork' 'middlegame' 'short'],['Queens_Pawn_Game' 'Queens_Pawn_Game_Accelerated_London_System']
002KJ,2NpTzh7O/black#20,r3kb1r/ppq2ppp/4pn2/2Ppn3/1P4bP/2P2N2/P3BPP1/RNBQ1RK1 b kq - 2 10,f8e7 f3e5 c7e5 e2g4,1615,78,90,1729,['crushing' 'discoveredAttack' 'middlegame' 'short'],['Caro-Kann_Defense' 'Caro-Kann_Defense_Advance_Variation']
002LF,md88dHiL/black#76,7r/p2q1pk1/1pp3p1/8/6P1/4Q3/PP1R1P1r/5KN1 b - - 0 38,d7g4 e3e5 f7f6 e5c7 g7h6 c7h2,2133,95,91,592,['advantage' 'endgame' 'interference' 'long'],
002LW,0khwj5dv/black#56,3r1rk1/1b1n1pp1/3p4/p4PPQ/4P3/3q1BN1/8/2R2RK1 b - - 1 28,d7e5 f5f6 e5f3 f1f3,2464,88,78,115,['advantage' 'middlegame' 'short'],
002Mm,wAkPv4uG/black#32,rn1qr1k1/ppp3pQ/3p1pP1/3Pp3/2P1P3/8/PP3PP1/R1B1K3 b Q - 2 16,g8f8 h7h8 f8e7 h8g7,939,81,97,236,['deflection' 'mate' 'mateIn2' 'middlegame' 'short'],['Three_Knights_Opening' 'Three_Knights_Opening_Other_variations']
002O7,dFEPPiEc/black#28,r3qrk1/2p2pp1/p2bpn1p/2ppNb2/3P1P2/1PP1P1B1/P2N2PP/R2Q1RK1 b - - 0 14,f5g4 e5g4 f6g4 d1g4,1010,96,91,356,['crushing' 'middlegame' 'short'],['Queens_Pawn_Game' 'Queens_Pawn_Game_Accelerated_London_System']
002Q2,yqAJ1jMv#55,7k/p4R1p/3p3r/2pN1n2/2PbBBb1/3P2P1/P3r3/5R1K w - - 1 28,f4h6 f5g3,954,75,100,378,['cornerMate' 'mate' 'mateIn1' 'middlegame' 'oneMove'],
002Tf,Zq56PwHK#13,r3kbnr/ppp1qppp/2n5/3pP3/5B2/4PQ2/PPP2PPP/RN2KB1R w KQkq - 1 7,f1b5 e7b4 b1c3 b4b2,1564,75,84,179,['advantage' 'fork' 'opening' 'short'],['Queens_Pawn_Game' 'Queens_Pawn_Game_Chigorin_Variation']
002Ua,06i3eMVp#31,r4rk1/pp3ppp/3p1q2/P1P1p3/2B5/2B2n2/2P2P1P/R2Q1RK1 w - - 0 16,g1h1 f6f4 d1f3 f4f3,1618,76,94,8358,['crushing' 'kingsideAttack' 'middlegame' 'short'],['Sicilian_Defense' 'Sicilian_Defense_Lowenthal_Variation']
002Uy,sLU7YN1A#127,8/8/1p6/k7/P1R5/1K5r/8/8 w - - 26 64,c4c3 h3c3 b3c3 a5a4 c3b2 a4b4,1643,74,97,6244,['crushing' 'defensiveMove' 'endgame' 'long' 'rookEndgame'],
002VP,7yJGEbUK/black#88,8/6p1/2B1bn2/6k1/3B4/6K1/4P3/8 b - - 4 44,e6d5 d4f6 g5f5 c6d5,1469,79,72,142,['crushing' 'endgame' 'short'],
002Z9,Ek4aENjD/black#68,4r1k1/1p2R1p1/p2p2Pp/P1pP4/5q2/1R3p2/1P1Q3P/5B1K b - - 0 34,f4d2 e7e8,1231,99,69,52,['endgame' 'hangingPiece' 'master' 'mate' 'mateIn1' 'oneMove'],
002bK,IFGj8W5s/black#84,8/7p/2b1k3/p2p1pPB/1n1P3P/N1p1P3/4K3/8 b - - 1 42,c6b5 a3b5 c3c2 e2d2,1129,84,93,820,['advantage' 'endgame' 'hangingPiece' 'short'],
200000,qaapuG48/black#42,r2q4/pp1n1kbp/3P2b1/6N1/6Q1/P3P3/6P1/4K2R b K - 1 21,f7g8 g4c4 g8h8 h1h7 g6h7 g5f7,2632,78,85,387,['crushing' 'long' 'middlegame' 'sacrifice'],
200000000,ygzu5djr/black#46,r3nrk1/1b3pp1/4pb2/p3q3/1p1N4/3B2R1/PPPQN2P/1K4R1 b - - 1 23,a8d8 d2h6 g7g6 g3h3,2459,82,93,477,['crushing' 'defensiveMove' 'master' 'middlegame' 'pin' 'short'],
002mG,age2hanq#71,5r1k/B1p3pp/2Qb1p2/3Pq3/P6P/8/2P3K1/3R1R2 w - - 1 36,g2f2 f8e8 c6e8 e5e8,2370,81,88,203,['advantage' 'middlegame' 'quietMove' 'short'],
002p5,meSoQkhU/black#26,r1bqr1k1/pp1nbpp1/2p2n2/6P1/2BP4/P7/1PQNNPP1/R3K2R b KQ - 0 13,f6d5 c2h7 g8f8 h7h8,908,79,84,182,['kingsideAttack' 'mate' 'mateIn2' 'middlegame' 'short'],['French_Defense' 'French_Defense_Exchange_Variation']
002rd,NcD6lul8/black#50,r6k/q1pb1p1p/1b3Pr1/p1ppP2Q/3P2p1/4B3/PP2NRPP/3R2K1 b - - 1 25,d7e6 e2f4 c5d4 f4g6 f7g6 h5h6,1795,74,79,129,['crushing' 'kingsideAttack' 'long' 'middlegame' 'pin'],
002uV,WKH5eIti#39,r2r2k1/1p2qppp/2n1p3/5n2/p2P4/P2Q1N2/BP3PPP/2R1R1K1 w - - 4 20,d3f5 e6f5 e1e7 c6e7,1562,76,90,80,['advantage' 'middlegame' 'short'],
002vV,KB7FAntf#115,8/6k1/2R4p/5p1P/5P1K/6P1/8/r7 w - - 2 58,c6b6 a1h1,526,94,100,588,['endgame' 'master' 'mate' 'mateIn1' 'oneMove' 'rookEndgame'],
002xh,TfRvsd3p/black#84,2nk4/8/2PBp1n1/1pK1P1p1/1P4P1/8/8/8 b - - 2 42,g6h4 c5b5 h4g2 b5a6 g2e3 a6b7,2065,96,54,34,['crushing' 'endgame' 'long'],
0030b,mhIZR6Mc/black#64,6k1/5ppp/5nb1/pp6/6rP/5N1Q/Pq2r1P1/3R2RK b - - 4 32,g6e4 d1d8 f6e8 d8e8,538,92,62,195,['backRankMate' 'mate' 'mateIn2' 'middlegame' 'short'],
347,xFM0YP9S#83,8/2p5/8/2pPk2p/8/4K2P/6P1/8 w - - 1 42,e3d3 h5h4 d3c4 e5d6,2264,75,87,123,['crushing' 'endgame' 'pawnEndgame' 'quietMove' 'short'],
0039T,BrtVeJlj#49,1r5r/p3kp2/4p2p/4P3/3R1Pp1/6P1/P1P4P/4K2R w K - 1 25,d4a4 b8b1 e1f2 b1h1 a4a7 e7f8,1071,89,93,826,['crushing' 'defensiveMove' 'endgame' 'long' 'rookEndgame' 'skewer'],
003AX,kRgejRSt/black#36,2r2rk1/5ppp/bq2p3/p1ppP1N1/Pb1P2P1/1P2P2P/2QN4/2R1K2R b K - 1 18,c5d4 c2h7,1053,76,94,665,['kingsideAttack' 'mate' 'mateIn1' 'middlegame' 'oneMove'],['French_Defense' 'French_Defense_Advance_Variation']
003Ec,qnd2dxXz/black#64,3r4/p4R2/1pb2Pp1/n1p1Q1kp/8/P2q4/1P4PP/6RK b - - 2 32,d3f5 e5e3 f5f4 h2h4 g5f5 e3h3,2245,76,89,307,['crushing' 'long' 'middlegame' 'pin'],
003IM,7CNJ1GaI#67,8/5kp1/p3pb2/8/6Pp/1P4qP/P2RQ3/7K w - - 2 34,e2g2 g3e1 g2g1 e1d2,1096,81,62,55,['crushing' 'deflection' 'endgame' 'master' 'short'],
003IX,576Btq56#85,8/3pk3/R7/1R2Pp1p/2PPnKr1/8/8/8 w - - 4 43,f4f5 e4g3,1696,84,89,2149,['endgame' 'mate' 'mateIn1' 'oneMove'],
003Jb,8RvK0idj#43,6k1/3bqr1p/2rpp1pR/p7/Pp1QP3/1B3P2/1PP3P1/2KR4 w - - 6 22,d4a7 e7g5 c1b1 g5h6,993,81,90,392,['advantage' 'fork' 'master' 'middlegame' 'short'],
003S3,Eu6S0GPA/black#30,r4k1r/pNqnppb1/6pn/2p3Np/7P/2P2Q2/PP3PP1/R1B1K2R b KQ - 2 15,a8b8 g5e6 f8g8 e6c7,1330,74,95,14172,['advantage' 'middlegame' 'pin' 'short'],['Modern_Defense' 'Modern_Defense_Other_variations']
003Tx,A7j9VEC0#53,2r5/pR5p/5p1k/4p3/4r3/B4nPP/PP3P2/1K2R3 w - - 0 27,e1e4 f3d2 b1a1 c8c1,1516,88,83,759,['backRankMate' 'endgame' 'fork' 'mate' 'mateIn2' 'short'],
003UW,cXMga3rb/black#80,8/6pk/7p/2p5/2qp4/5PP1/P3QK1P/8 b - - 1 40,c4d5 e2e4 d5e4 f3e4,1476,75,93,975,['advantage' 'endgame' 'queenEndgame' 'short'],
003YF,5DK4vDDB#29,r4rk1/1pp2ppp/p2p4/2bPp3/2P1Pn1q/P1N2B2/1P3P2/R1BQK1R1 w Q - 1 15,c1f4 h4f2,1062,87,79,81,['attackingF2F7' 'mate' 'mateIn1' 'middlegame' 'oneMove'],['Mexican_Defense' 'Mexican_Defense_Other_variations']
003aS,I7ZktFeR#85,8/8/5k1p/6p1/1R4PP/1p2KP2/8/1r6 w - - 0 43,h4h5 b3b2 b4b6 f6e5 f3f4 g5f4,1924,77,93,231,['advancedPawn' 'crushing' 'defensiveMove' 'endgame' 'long' 'rookEndgame'],
003cs,PmRTKflq/black#32,2r1kbnr/pp4pp/4p3/3pP1N1/3q4/1P2B3/P3Q1PP/nN3RK1 b k - 1 16,d4e5 f1f8 e8f8 e3c5 c8c5 e2e5 c5c1 g1f2,2110,82,76,96,"['advantage' 'attraction' 'discoveredAttack' 'exposedKing' 'middlegame'
 'sacrifice' 'veryLong']",['Caro-Kann_Defense' 'Caro-Kann_Defense_Advance_Variation']
003eP,n9vCFmKh/black#72,8/r1b1q2k/2p3p1/2Pp4/1P2p1n1/2B1P3/NQ6/2K4R b - - 1 36,h7g8 h1h8 g8f7 h8h7 f7e8 h7e7,1156,79,88,1756,['crushing' 'exposedKing' 'long' 'middlegame' 'skewer'],
003if,mYGtlm6w/black#86,8/3q1kpp/1P2p3/4Q3/5P2/4B2P/2r3PK/8 b - - 0 43,d7b7 e5h5 f7e7 e3c5 c2c5 h5c5,1681,96,64,26,['advantage' 'endgame' 'long'],
003jH,3CQGofXT#49,rn3rk1/p5pp/3N4/4np1q/5Q2/1P3K2/PB1P2P1/2R4R w - - 0 25,f3f2 e5d3 f2e3 d3f4 h1h5 f4h5,1065,80,89,320,['crushing' 'fork' 'long' 'middlegame'],
003jb,960EzUS0/black#22,r3kb1r/p4ppp/b1p1p3/3q4/3Q4/4BN2/PPP2PPP/R3K2R b KQkq - 0 11,c6c5 d4a4 a6b5 a4b5,1000,76,95,2663,['crushing' 'fork' 'master' 'middlegame' 'short'],['French_Defense' 'French_Defense_Classical_Variation']
003jv,n0UvwK36#73,1R6/1p2k2p/p2n2p1/4K3/8/6P1/P6P/8 w - - 10 37,b8h8 d6f7 e5e4 f7h8,1007,84,89,340,['crushing' 'endgame' 'fork' 'short'],
003md,ALtR2fxT#19,r1b1k2N/ppp3pp/2n5/2bp4/7q/1B4n1/PPPP1P1P/RNBQ1RK1 w q - 0 10,f1e1 g3e4 e1e4 d5e4 d1h5 h4h5 b3f7 h5f7,2171,77,85,215,['crushing' 'defensiveMove' 'middlegame' 'veryLong'],['Russian_Game' 'Russian_Game_Italian_Variation']
003mh,HSa4keKZ/black#46,r4k1r/1pp2p2/p2p3p/3N4/3P2q1/8/PPP5/1K2Q1NR b - - 1 23,a8e8 e1e8 f8e8 d5f6 e8e7 f6g4,1338,76,86,452,['advantage' 'attraction' 'fork' 'long' 'middlegame' 'sacrifice'],
003nQ,p85fiZcl#57,6rk/pp6/2n5/3ppn1p/3p4/2P2P1q/PP3QNB/R4R1K w - - 2 29,f1g1 f5g3 f2g3 g8g3,1287,87,67,32,['crushing' 'kingsideAttack' 'master' 'middlegame' 'pin' 'short'],
003o0,Ae0t9V1Z#17,r1bqk2r/pp1nbppp/3p4/1B1p4/3P1B2/8/PPP2PPP/R2QK1NR w KQkq - 2 9,g1f3 d8a5 d1d2 a5b5,1002,84,90,681,['advantage' 'fork' 'master' 'opening' 'short'],['Czech_Defense' 'Czech_Defense_Other_variations']
003r5,JPN97v7j#29,r2qr1k1/ppp2ppp/4b3/3P4/1nP2Q2/2N2N1P/PP3KP1/R4R2 w - - 1 15,d5e6 b4d3 f2g1 d3f4,1107,79,88,860,['crushing' 'fork' 'middlegame' 'short'],['Kings_Gambit_Accepted' 'Kings_Gambit_Accepted_Abbazia_Defense']
003wQ,W3wvnzlo#47,2r2rk1/6pp/3Q1q2/8/3N1B2/6P1/PP1K3P/R4b2 w - - 0 24,a1f1 f6d6 f4d6 f8f1,1814,79,92,2040,['advantage' 'discoveredAttack' 'middlegame' 'pin' 'short'],
0040n,WIUWcrdG#39,r7/p2k1pp1/p1p1pn2/3p4/3P4/P3PQp1/1PP2P1q/2K4R w - - 0 20,h1h2 g3h2 f3h3 f6g4,1297,75,98,2049,['advancedPawn' 'advantage' 'endgame' 'short'],
0042j,DuM2FZjg/black#48,3r2k1/4nppp/pq1p1b2/1p2P3/2r2P2/2P1NR2/PP1Q2BP/3R2K1 b - - 0 24,d6e5 d2d8 b6d8 d1d8,555,106,92,1446,['backRankMate' 'mate' 'mateIn2' 'middlegame' 'short'],
465,h21VtqGG/black#54,3r1Q1k/pp4pp/2p5/6q1/5R2/2P5/P1P2PPP/3rR1K1 b - - 8 27,d8f8 f4f8,578,89,91,369,['backRankMate' 'endgame' 'mate' 'mateIn1' 'oneMove' 'queenRookEndgame'],
0047P,Gb33KZKC#111,8/1N3k2/6p1/8/2P3P1/pr6/R5K1/8 w - - 1 56,g2f1 b3b1 f1e2 b1b2 e2d1 b2a2,1766,75,86,94,['crushing' 'endgame' 'exposedKing' 'fork' 'long' 'master'],
0048h,dq15P00L#69,4r3/p5k1/2p2R1p/2Pp4/1P1pr1P1/P6P/8/3R3K w - - 1 35,f6c6 e4e1 d1e1 e8e1 h1g2 d4d3,1134,75,98,1929,['crushing' 'endgame' 'exposedKing' 'long' 'rookEndgame'],
